Name,|V|,|E|,Randomized,Greedy,Semi-Greedy,Local Search Iterations,Local Search Average Value,GRASP Iterations,GRASP Best Value,Known Best Solution
G1,800,19176,9589.2,10956,11146,84,11387,10,11372,12078
G2,800,19176,9579.4,11030,11092,123,11409,10,11414,12084
G3,800,19176,9608.3,11012,11021,120,11322,10,11387,12077
G4,800,19176,9580.4,11031,10981,131,11378,10,11383,
G5,800,19176,9580.8,10990,11056,121,11395,10,11440,
G6,800,19176,78.7,1515,1532,113,1834,10,1933,
G7,800,19176,-99.0,1362,1385,129,1737,10,1729,
G8,800,19176,-96.2,1331,1337,145,1775,10,1890,
G9,800,19176,-19.4,1507,1556,82,1790,10,1801,
G10,800,19176,-68.0,1350,1333,129,1739,10,1774,
G11,800,1600,8.0,434,410,14,440,10,460,627
G12,800,1600,-5.2,418,398,14,426,10,456,621
G13,800,1600,19.6,432,400,18,438,10,464,645
G14,800,4694,2334.4,2890,2933,24,2966,10,2977,3187
G15,800,4661,2339.3,2873,2905,34,2942,10,2964,3169
G16,800,4672,2326.4,2878,2921,30,2961,10,2969,3172
G17,800,4667,2322.0,2864,2924,19,2949,10,2961,
G18,800,4694,23.8,780,703,71,836,10,871,
G19,800,4661,-48.3,681,614,65,725,10,784,
G20,800,4672,-34.8,698,653,78,791,10,821,
G21,800,4667,-34.5,704,619,79,751,10,788,
G22,2000,19990,10034.6,12346,12537,159,12844,10,12905,14123
G23,2000,19990,9990.2,12291,12523,183,12888,10,12925,14129
G24,2000,19990,10013.9,12367,12595,159,12918,10,12900,14131
G25,2000,19990,9970.7,12408,12516,168,12860,10,12928,
G26,2000,19990,9959.0,12355,12533,197,12919,10,12869,
G27,2000,19990,-26.8,2316,2341,224,2785,10,2845,
G28,2000,19990,-72.4,2329,2299,242,2783,10,2868,
G29,2000,19990,48.3,2367,2374,239,2881,10,2942,
G30,2000,19990,46.5,2401,2394,198,2829,10,2930,
G31,2000,19990,-24.0,2290,2322,217,2791,10,2846,
G32,2000,4000,12.6,1058,1006,52,1112,10,1134,1560
G33,2000,4000,1.8,1000,1002,41,1088,10,1112,1537
G34,2000,4000,-41.0,988,1020,27,1076,10,1106,1541
G35,2000,11778,5875.2,7252,7358,63,7437,10,7462,8000
G36,2000,11766,5891.4,7225,7330,70,7421,10,7471,7996
G37,2000,11785,5937.5,7264,7365,69,7455,10,7474,8009
G38,2000,11779,5878.7,7305,7348,63,7439,10,7460,
G39,2000,11778,11.2,1861,1661,202,2034,10,2080,
G40,2000,11766,-83.3,1834,1683,170,1997,10,2021,
G41,2000,11785,-13.7,1876,1645,199,2002,10,2007,
G42,2000,11779,85.6,1989,1709,199,2077,10,2096,
G43,1000,9990,4998.7,6188,6237,87,6415,10,6465,7027
G44,1000,9990,5013.2,6157,6256,86,6421,10,6448,7022
G45,1000,9990,5001.6,6179,6205,105,6396,10,6456,7020
G46,1000,9990,4985.7,6150,6210,98,6402,10,6462,
G47,1000,9990,4963.8,6220,6238,89,6440,10,6459,
G48,3000,6000,2993.6,6000,6000,0,6000,10,6000,6000
G49,3000,6000,3005.6,6000,6000,0,6000,10,6000,6000
G50,3000,6000,3021.6,5880,5830,2,5834,10,5852,5988
G51,1000,5909,2954.8,3626,3679,40,3738,10,3738,
G52,1000,5916,2976.8,3650,3695,30,3730,10,3752,
G53,1000,5914,2954.2,3632,3698,30,3747,10,3735,
G54,1000,5916,2982.3,3633,3671,32,3719,10,3750,
